CustomerID,frequency,monetary,recency,recency_group,frequency_group
12458,2,947.4,71,Old,Low
12461,2,826.88,94,Old,Low
12462,2,1189.59,18,Old,Low
12463,4,1344.78,53,Old,Low
12464,8,1212.05,10,Old,Medium
12465,2,742.189999999999,17,Old,Low
12468,2,729.54,187,Old,Low
12471,30,19824.05,2,Old,High
12472,7,6572.11,32,Old,Medium
12473,5,3938.55,29,Old,Medium
12474,18,7375.79,17,Old,High
12475,1,723.38,53,Old,Low
12476,11,6816.42,15,Old,High
12477,6,13219.74,22,Old,Medium
12478,1,680.99,3,Old,Low
12479,1,527.2,11,Old,Low
12480,4,3281.63,28,Old,Low
12481,10,5596.32,22,Old,High
12483,8,2484.98,17,Old,Medium
12484,6,4541.72,32,Old,Medium
12488,3,1298.66,9,Old,Low
12489,1,334.93,336,Old,Low
12490,10,5417.93,5,Old,High
12491,1,460.4,38,Old,Low
12492,2,263.21,63,Old,Low
12493,2,433.74,165,Old,Low
12494,7,1246.1,15,Old,Medium
12497,1,1043.1,81,Old,Low
12498,3,403.7,21,Old,Low
12500,11,4257.82,23,Old,High
12501,1,2169.39,336,Old,Low
12502,5,3723.87,95,Old,Medium
12504,2,482.049999999999,18,Old,Low
12506,1,73.5,232,Old,Low
12507,3,1304.81,134,Old,Low
12508,2,398.27,26,Old,Low
12509,1,176.5,284,Old,Low
12510,2,982.569999999999,142,Old,Low
12512,2,138.03,66,Old,Low
12513,1,612.29,112,Old,Low
12514,1,1017.68,267,Old,Low
12515,1,383.7,353,Old,Low
12516,2,1312.06,77,Old,Low
12517,5,2502.84,28,Old,Medium
12518,5,2056.89,0,Old,Medium
12519,1,340.84,63,Old,Low
12520,5,2634.26,79,Old,Medium
12521,1,599.68,142,Old,Low
12522,2,192.72,39,Old,Low
12523,11,1789.77,19,Old,High
12524,8,4485.72,9,Old,Medium
12526,3,1316.66,0,Old,Low
12527,3,348.71,81,Old,Low
12528,6,1933.48,9,Old,Medium
12530,4,1662.28,59,Old,Low
12531,1,125.22,14,Old,Low
12532,1,349.83,30,Old,Low
12534,1,1089.18,130,Old,Low
12535,2,716.35,91,Old,Low
12536,3,12601.83,43,Old,Low
12538,1,363.95,29,Old,Low
12539,4,5568.35,22,Old,Low
12540,17,13400.24,19,Old,High
12541,3,981.18,29,Old,Low
12544,1,372.7,36,Old,Low
12545,2,1000.39,75,Old,Low
12546,2,1161.5,46,Old,Low
12547,2,207.799999999999,197,Old,Low
12548,1,95.1999999999999,166,Old,Low
12550,1,964.83,79,Old,Low
12551,1,168,357,Old,Low
12552,2,437.82,38,Old,Low
12553,10,3692.28,8,Old,High
12556,2,603.71,50,Old,Low
12557,5,11990.96,16,Old,Medium
12558,1,269.96,7,Old,Low
12559,2,561.71,310,Old,Low
12560,3,2134.01,5,Old,Low
12561,1,238.85,302,Old,Low
12562,7,3781.74,8,Old,Medium
12564,1,456.9,261,Old,Low
12565,1,145.92,288,Old,Low
12566,1,351.65,86,Old,Low
12567,10,9401.28,22,Old,High
12569,32,4124.69,2,Old,High
12571,2,519.61,39,Old,Low
12572,2,1020.42,8,Old,Low
12573,1,160.54,227,Old,Low
12574,1,218.45,315,Old,Low
12576,5,1315.83,35,Old,Medium
12577,3,657.8,35,Old,Low
12578,2,2794.51,21,Old,Low
12579,1,440.42,78,Old,Low
12580,1,415.7,246,Old,Low
12581,1,197.71,39,Old,Low
12582,2,511.36,238,Old,Low
12583,15,7281.38,2,Old,High
12584,9,2338.15,3,Old,Medium
12585,2,2040.1,234,Old,Low
12586,1,196.94,17,Old,Low
12587,1,144,7,Old,Low
12588,1,214.899999999999,39,Old,Low
12589,2,646.68,28,Old,Low
12590,2,9864.26,211,Old,Low
12591,1,452.85,317,Old,Low
12592,2,437.6,92,Old,Low
12593,3,418.099999999999,108,Old,Low
12594,10,3338.22,37,Old,High
12596,2,618.27,51,Old,Low
12597,4,3811.22,19,Old,Low
12598,8,3023.08,9,Old,Medium
12599,7,1032.58,29,Old,Medium
12600,10,2599.04,28,Old,High
12601,5,577.06,189,Old,Medium
12602,1,153.12,58,Old,Low
12603,1,739.199999999999,21,Old,Low
12604,2,254.18,79,Old,Low
12607,1,1579.51,60,Old,Low
12609,3,1126.85,78,Old,Low
12610,5,2099.54,22,Old,Medium
12611,1,1193.32,52,Old,Low
12612,1,704.04,74,Old,Low
12613,5,3344.38,57,Old,Medium
12614,1,315.6,277,Old,Low
12615,4,2291.19,2,Old,Low
12616,2,713.3,95,Old,Low
12617,1,355.53,29,Old,Low
12618,1,177.31,21,Old,Low
12619,9,3641.24,16,Old,Medium
12620,3,1339.41,14,Old,Low
12621,20,13689.67,1,Old,High
12622,1,180.1,232,Old,Low
12623,1,305.1,276,Old,Low
12624,2,641.13,106,Old,Low
12625,2,2683.82,211,Old,Low
12626,9,6620.48,23,Old,Medium
12627,7,4478.53,10,Old,Medium
12628,3,786.46,4,Old,Low
12630,2,1270.88,9,Old,Low
12631,1,640.5,57,Old,Low
12633,4,2163.98,58,Old,Low
12635,2,1689.18,89,Old,Low
12637,8,6021.9,67,Old,Medium
12638,1,671.69,33,Old,Low
12639,1,486.1,238,Old,Low
12640,3,1174.58,23,Old,Low
12641,1,185.9,115,Old,Low
12642,3,1013.26,25,Old,Low
12643,6,3344.64,128,Old,Medium
12644,1,477.91,129,Old,Low
12645,4,1775.18,33,Old,Low
12646,2,1346.97,4,Old,Low
12647,12,3722.82,22,Old,High
12648,1,318.05,154,Old,Low
12649,3,623.51,107,Old,Low
12650,1,314.44,3,Old,Low
12651,1,114,334,Old,Low
12652,1,919.98,331,Old,Low
12653,2,2209.85,148,Old,Low
12654,5,601.98,10,Old,Medium
12656,5,4051.17,17,Old,Medium
12657,4,1643.18,11,Old,Low
12658,1,686.05,18,Old,Low
12659,1,91.68,29,Old,Low
12660,1,245.1,11,Old,Low
12662,11,3849.78,0,Old,High
12664,9,4881.88,8,Old,Medium
12665,1,63,324,Old,Low
12667,1,620.13,58,Old,Low
12668,4,3807.15,11,Old,Low
12669,3,2744.02999999999,150,Old,Low
12670,5,2996.05,10,Old,Medium
12672,1,225.9,329,Old,Low
12673,2,610.52,5,Old,Low
12674,4,1970.6,38,Old,Low
12676,6,1331.39,24,Old,Medium
12678,12,17628.46,42,Old,High
12679,4,1113.02,58,Old,Low
12680,4,862.81,0,Old,Low
12681,22,13787.54,14,Old,High
12682,31,12288.22,3,Old,High
12683,15,8476.57,4,Old,High
12684,7,2283.63,7,Old,Medium
12685,6,2863.08,28,Old,Medium
12686,1,89.14,371,Old,Low
12688,1,4873.81,113,Old,Low
12689,2,1247.61,25,Old,Low
12690,1,389.01,205,Old,Low
12691,6,1035.8,28,Old,Medium
12693,4,855.91,127,Old,Low
12694,2,869.67,70,Old,Low
12695,4,582.1,7,Old,Low
12697,3,957.59,28,Old,Low
12700,4,4939.99,7,Old,Low
12701,2,797.71,79,Old,Low
12702,1,219,19,Old,Low
12703,1,283.55,71,Old,Low
12704,8,2340.84,7,Old,Medium
12705,9,6868.29,15,Old,Medium
12707,1,603.42,291,Old,Low
12708,10,2712.91,29,Old,High
12709,15,9736.52,15,Old,High
12710,3,1149.02,96,Old,Low
12712,13,4396.13,28,Old,High
12713,1,848.55,0,Old,Low
12714,5,4708.86,9,Old,Medium
12715,1,353.86,106,Old,Low
12716,2,1053.49,3,Old,Low
12717,2,1030.98,151,Old,Low
12718,1,238.25,71,Old,Low
12719,2,644.95,5,Old,Low
12720,25,5781.73,2,Old,High
12721,6,2656.13,31,Old,Medium
12722,4,997.63,85,Old,Low
12723,5,725.07,3,Old,Medium
12724,4,1031.41,5,Old,Low
12725,1,427.8,371,Old,Low
12726,7,2609.1,28,Old,Medium
12727,7,3980.7,10,Old,Medium
12728,4,836.33,71,Old,Low
12729,1,453.01,113,Old,Low
12731,12,18895.91,23,Old,High
12732,1,236.26,179,Old,Low
12733,1,383.95,234,Old,Low
12734,1,110.399999999999,352,Old,Low
12735,2,779.569999999999,315,Old,Low
12736,1,234,332,Old,Low
12738,1,155.35,372,Old,Low
12739,2,1013.04,78,Old,Low
12740,1,427.6,63,Old,Low
12743,2,546.43,134,Old,Low
12744,7,21279.29,51,Old,Medium
12747,11,4196.01,2,Old,High
12748,209,33719.73,0,Old,High
12749,5,4090.88,3,Old,Medium
12750,1,275.88,128,Old,Low
12752,1,4366.78,81,Old,Low
12753,6,21429.39,22,Old,Medium
12754,3,3010.74,235,Old,Low
12755,2,3811.95,280,Old,Low
12756,1,112.08,86,Old,Low
12757,13,7857.1,15,Old,High
12758,2,2791.59,116,Old,Low
12759,3,1531.44,52,Old,Low
12762,2,1898.52,7,Old,Low
12763,2,494.08,138,Old,Low
12764,1,1693.88,316,Old,Low
12766,7,6989.63,3,Old,Medium
12769,1,1143.6,238,Old,Low
12770,1,1351.45,210,Old,Low
12772,1,892.47,59,Old,Low
12775,5,1386.04,17,Old,Medium
12778,6,822.23,19,Old,Medium
12779,8,3981.36,37,Old,Medium
12781,2,826.74,63,Old,Low
12782,5,2330.92,4,Old,Medium
12783,6,2225.91,2,Old,Medium
12784,2,574.42,9,Old,Low
12785,1,311.95,364,Old,Low
12787,3,463.66,9,Old,Low
12789,1,91.85,65,Old,Low
12790,1,324.92,192,Old,Low
12791,1,192.6,373,Old,Low
12792,1,400.539999999999,256,Old,Low
12793,2,545.48,334,Old,Low
12794,2,860.41,53,Old,Low
12795,1,430.48,18,Old,Low
12797,1,254.03,365,Old,Low
12798,3,6977.04,10,Old,Low
12802,1,427.58,186,Old,Low
12808,3,483.65,36,Old,Low
12809,1,489.31,177,Old,Low
12811,3,514.85,260,Old,Low
12812,1,229.64,44,Old,Low
12814,1,125.92,101,Old,Low
12815,2,1063.46,147,Old,Low
12816,2,572.2,95,Old,Low
12817,1,166.04,281,Old,Low
12818,1,1542.08,261,Old,Low
12820,4,942.34,3,Old,Low
12821,1,92.72,214,Old,Low
12822,2,948.88,70,Old,Low
12823,5,1759.5,74,Old,Medium
12824,1,397.12,59,Old,Low
12826,7,1474.72,2,Old,Medium
12827,3,430.15,5,Old,Low
12828,6,1018.71,2,Old,Medium
12829,2,293,336,Old,Low
12830,6,6814.64,37,Old,Medium
12831,1,215.049999999999,262,Old,Low
12832,2,383.03,32,Old,Low
12833,1,417.38,145,Old,Low
12834,1,312.38,282,Old,Low
12836,4,2612.86,59,Old,Low
12837,1,134.1,173,Old,Low
12838,2,683.13,33,Old,Low
12839,14,5591.42,2,Old,High
12840,4,2726.77,143,Old,Low
12841,25,4022.35,4,Old,High
12842,2,1118.99,70,Old,Low
12843,8,1702.26,65,Old,Medium
12844,2,325.96,29,Old,Low
12845,4,354.09,267,Old,Low
12847,1,871.54,22,Old,Low
12849,2,1050.88999999999,31,Old,Low
12851,1,135.18,96,Old,Low
12852,1,311.55,294,Old,Low
12853,6,1957.1,134,Old,Medium
12854,3,1324.5,78,Old,Low
12855,1,38.1,372,Old,Low
12856,6,2179.93,7,Old,Medium
12857,2,1106.4,210,Old,Low
12863,1,521.2,52,Old,Low
12864,1,147.12,138,Old,Low
12865,2,1568.23,26,Old,Low
12866,1,559.12,283,Old,Low
12867,7,4036.82,26,Old,Medium
12868,6,1607.06,185,Old,Medium
12871,2,380.64,84,Old,Low
12872,2,599.97,326,Old,Low
12873,1,374,282,Old,Low
12875,2,343.23,143,Old,Low
12876,2,2218.02,57,Old,Low
12877,12,1535.77,3,Old,High
12878,2,854.99,236,Old,Low
12879,3,573.22,44,Old,Low
12881,1,298,275,Old,Low
12882,2,1463.04,9,Old,Low
12883,4,703.47,24,Old,Low
12884,1,309.05,88,Old,Low
12885,3,1175.22,63,Old,Low
12886,2,1378.4,67,Old,Low
12888,2,354.12,214,Old,Low
12890,1,380.469999999999,24,Old,Low
12891,3,331,185,Old,Low
12893,1,188.14,30,Old,Low
12895,2,372.8,42,Old,Low
12897,2,216.5,204,Old,Low
12901,28,17654.54,8,Old,High
12902,1,138.68,264,Old,Low
12904,2,509.58,18,Old,Low
12906,5,2919.81,11,Old,Medium
12908,2,750,176,Old,Low
12909,5,2178.67,39,Old,Medium
12910,8,3075.04,23,Old,Medium
12912,5,1662.3,2,Old,Medium
12913,5,2483.63,4,Old,Medium
12915,2,363.65,148,Old,Low
12916,4,3006.15,138,Old,Low
12917,1,594,128,Old,Low
12919,6,1335.19,8,Old,Medium
12920,1,164.23,17,Old,Low
12921,37,16587.09,9,Old,High
12922,1,405.38,161,Old,Low
12923,1,176.97,64,Old,Low
12924,4,933.7,88,Old,Low
12925,2,694.05,4,Old,Low
12928,5,2062.7,35,Old,Medium
12929,1,117.85,311,Old,Low
12930,2,415.8,78,Old,Low
12931,15,42055.96,21,Old,High
12933,3,607.53,24,Old,Low
12935,7,2160.7,2,Old,Medium
12936,4,1063.9,17,Old,Low
12937,4,1504.27,15,Old,Low
12938,1,114.14,25,Old,Low
12939,8,11581.8,64,Old,Medium
12940,2,913.54,54,Old,Low
12942,3,683.9,131,Old,Low
12944,2,604.51,35,Old,Low
12945,1,462.95,288,Old,Low
12947,6,1603.99,143,Old,Medium
12948,7,2064.95,16,Old,Medium
12949,8,4167.22,30,Old,Medium
12950,3,1843,2,Old,Low
12951,6,1064.07,8,Old,Medium
12952,4,1387.79,5,Old,Low
12953,1,329.85,9,Old,Low
12955,11,4757.16,1,Old,High
12956,1,108.07,306,Old,Low
12957,8,4017.54,9,Old,Medium
12962,2,266.39,7,Old,Low
12963,8,1856.63,8,Old,Medium
12965,1,771.91,89,Old,Low
12966,1,160.18,9,Old,Low
12967,2,1660.9,358,Old,Low
12968,1,135.95,112,Old,Low
12970,4,452.24,7,Old,Low
12971,86,11189.91,3,Old,High
12974,1,144.8,197,Old,Low
12976,1,738.6,211,Old,Low
12977,1,39.24,156,Old,Low
12980,9,7374.9,157,Old,Medium
12981,2,372.219999999999,29,Old,Low
12982,1,390.54,242,Old,Low
12984,1,97.5,18,Old,Low
12985,2,1239.38,0,Old,Low
12987,2,558.7,73,Old,Low
12988,1,535.32,292,Old,Low
12989,15,6924.11,3,Old,High
12990,3,409.5,31,Old,Low
12991,2,503.76,23,Old,Low
12993,4,414.76,23,Old,Low
12994,3,974.42,4,Old,Low
12995,1,211.32,85,Old,Low
12997,4,1226.89,22,Old,Low
12999,3,455.88,196,Old,Low
13000,3,534.85,106,Old,Low
13001,13,9818.82,4,Old,High
13002,1,120.949999999999,318,Old,Low
13003,3,149.05,105,Old,Low
13004,18,5655.91,11,Old,High
13005,2,513.7,173,Old,Low
13006,1,81.57,56,Old,Low
13008,1,229.469999999999,323,Old,Low
13011,1,50.55,372,Old,Low
13012,8,1661.84,9,Old,Medium
13013,13,4810.94,1,Old,High
13014,10,3466.27999999999,10,Old,High
13015,5,3346.28,53,Old,Medium
13016,3,789.89,73,Old,Low
13017,1,204,7,Old,Low
13018,28,7277.7,16,Old,High
13021,9,2616.38,4,Old,Medium
13023,2,689.9,64,Old,Low
13026,5,975.36,1,Old,Medium
13027,6,6912,113,Old,Medium
13028,2,661.319999999999,22,Old,Low
13029,3,1247.5,30,Old,Low
13030,2,799.48,11,Old,Low
13032,2,1010.18,52,Old,Low
13033,1,190.55,357,Old,Low
13034,2,642.77,54,Old,Low
13035,2,921.88,73,Old,Low
13037,3,881.07,138,Old,Low
13038,3,908.46,80,Old,Low
13040,2,676.99,8,Old,Low
13043,1,516.42,273,Old,Low
13044,1,560.47,291,Old,Low
13045,1,305.28,99,Old,Low
13046,2,629.31,30,Old,Low
13047,10,3237.54,31,Old,High
13048,4,1835.91,14,Old,Low
13049,2,656.68,64,Old,Low
13050,17,5836.86,14,Old,High
13052,1,348.15,212,Old,Low
13055,3,1214.41,78,Old,Low
13058,3,271.4,24,Old,Low
13059,1,183.4,249,Old,Low
13060,1,307.53,253,Old,Low
13061,1,248.61,72,Old,Low
13062,1,346.98,191,Old,Low
13064,4,1119.49,12,Old,Low
13065,1,205.86,373,Old,Low
13066,2,470.8,24,Old,Low
13067,1,115.46,82,Old,Low
13068,2,344,10,Old,Low
13069,24,4436.12,0,Old,High
13070,1,228.8,192,Old,Low
13072,1,177.15,266,Old,Low
13075,1,919.61,129,Old,Low
13077,4,729.27,1,Old,Low
13078,26,12627.94,3,Old,High
13079,5,220.1,4,Old,Medium
13080,1,58.08,179,Old,Low
13081,11,28337.38,11,Old,High
13082,9,3613.63,126,Old,Medium
13083,2,303.75,4,Old,Low
13085,2,416.08,157,Old,Low
13089,97,58825.83,2,Old,High
13090,14,8910.82,8,Old,High
13091,1,345.82,28,Old,Low
13092,5,477.83,70,Old,Medium
13093,8,7832.47,275,Old,Medium
13094,12,1927.32,21,Old,High
13095,1,74.3999999999999,70,Old,Low
13097,10,6010.42,32,Old,High
13098,28,28882.44,1,Old,High
13099,1,207.359999999999,99,Old,Low
13101,1,101.19,234,Old,Low
13102,24,6424.09,1,Old,High
13103,1,243.94,39,Old,Low
13104,6,1098.48,3,Old,Medium
13106,1,76.5,133,Old,Low
13107,4,1531.62,44,Old,Low
13108,1,350.06,372,Old,Low
13109,2,786.54,59,Old,Low
13110,7,1488.67,31,Old,Medium
13113,24,12245.96,0,Old,High
13115,4,2294.78,11,Old,Low
13116,1,501.14,138,Old,Low
13117,8,984.91,21,Old,Medium
13118,5,1197.81,19,Old,Medium
13120,1,30.5999999999999,238,Old,Low
13121,1,283.73,269,Old,Low
13122,2,922.39,94,Old,Low
13124,3,3866.33,89,Old,Low
13126,8,2099.64,4,Old,Medium
13127,1,259.17,77,Old,Low
13130,1,64,94,Old,Low
13131,3,1073.3,23,Old,Low
13132,1,77.3,261,Old,Low
13133,2,109.8,273,Old,Low
13134,4,1793.58,85,Old,Low
13135,1,3096,196,Old,Low
13136,5,2607.61,56,Old,Medium
13137,8,3650.41,10,Old,Medium
13138,6,962.39,22,Old,Medium
13139,7,5064.94,16,Old,Medium
13140,3,423.72,108,Old,Low
13141,5,2388.75,84,Old,Medium
13142,1,307.09,19,Old,Low
13144,1,110.95,332,Old,Low
13145,4,618.52,39,Old,Low
13146,1,228.91,26,Old,Low
13147,4,712.8,10,Old,Low
13148,12,3707.12,29,Old,High
13149,4,1676.06,14,Old,Low
13151,1,1257.87,295,Old,Low
13153,1,486.22,5,Old,Low
13155,4,971.76,33,Old,Low
13157,4,1741.22,49,Old,Low
13158,4,1201.06,94,Old,Low
13159,4,1437.85,8,Old,Low
13160,1,91.8,22,Old,Low
13161,1,112.75,313,Old,Low
13162,4,1688.29,122,Old,Low
13165,2,1021.48,46,Old,Low
13166,1,417.2,283,Old,Low
13167,4,791.33,18,Old,Low
13168,4,1319.19,36,Old,Low
13169,2,712.88,63,Old,Low
13170,1,116.009999999999,26,Old,Low
13171,3,468.409999999999,21,Old,Low
13173,2,353.65,4,Old,Low
13174,3,2817.03,16,Old,Low
13176,1,492.84,46,Old,Low
13177,1,282.45,64,Old,Low
13178,11,5725.47,26,Old,High
13182,1,121.18,45,Old,Low
13183,9,3957.78,7,Old,Medium
13184,10,1701.29,14,Old,High
13185,1,71.4,267,Old,Low
13186,3,1575.89,39,Old,Low
13187,1,236.02,337,Old,Low
13188,1,114.6,11,Old,Low
13189,2,260.68,18,Old,Low
13192,2,911.94,95,Old,Low
13193,1,117.88,61,Old,Low
13194,1,60.7,135,Old,Low
13196,4,1797.78,11,Old,Low
13198,6,3401.24,10,Old,Medium
13199,38,9817.12,3,Old,High
13200,4,870.09,19,Old,Low
13203,4,869.46,9,Old,Low
13207,2,250.26,15,Old,Low
13208,6,1223.9,58,Old,Medium
13209,8,5891.61,30,Old,Medium
13210,1,353.48,93,Old,Low
13211,3,1197.42,10,Old,Low
13212,3,788.08,19,Old,Low
13213,5,1520.58,56,Old,Medium
13216,1,333.74,267,Old,Low
13217,3,533.98,122,Old,Low
13218,1,62.6399999999999,127,Old,Low
13220,4,819.29,78,Old,Low
13221,2,847.41,240,Old,Low
13223,2,163.2,200,Old,Low
13224,2,2155.95,60,Old,Low
13225,7,6463.84,3,Old,Medium
13226,1,108.21,273,Old,Low
13227,1,257.7,201,Old,Low
13228,1,358,81,Old,Low
13229,1,160.95,225,Old,Low
13230,14,2806.97,4,Old,High
13232,7,1357.6,12,Old,Medium
13233,2,605.12,74,Old,Low
13235,1,1031.07,212,Old,Low
13236,2,744.85,24,Old,Low
13238,4,700.73,17,Old,Low
13239,1,329.56,261,Old,Low
13240,4,663.65,96,Old,Low
13242,3,270.4,112,Old,Low
13243,1,600.07,203,Old,Low
13244,1,121.74,92,Old,Low
13245,1,430.5,50,Old,Low
13246,6,1987.3,18,Old,Medium
13247,4,501.12,17,Old,Low
13248,2,465.68,124,Old,Low
13249,3,711.41,92,Old,Low
13253,2,1030.4,156,Old,Low
13255,2,399.51,9,Old,Low
13258,3,698.58,11,Old,Low
13259,1,292.32,61,Old,Low
13260,1,557.62,61,Old,Low
13261,2,944.1,268,Old,Low
13262,1,200.29,263,Old,Low
13263,35,7454.07,1,Old,High
13265,5,2107.66,53,Old,Medium
13266,12,3834.25999999999,11,Old,High
13267,19,4521.49,2,Old,High
13268,11,3214.69,17,Old,High
13269,15,5346.23,1,Old,High
13270,1,590,366,Old,Low
13271,1,217.38,37,Old,Low
13272,2,276.56,31,Old,Low
13273,1,138.98,113,Old,Low
13276,2,590.93,63,Old,Low
13277,4,258.4,15,Old,Low
13278,1,542.73,40,Old,Low
13279,1,137.75,78,Old,Low
13280,3,814.86,122,Old,Low
13282,3,1132.14,18,Old,Low
13283,2,93.66,59,Old,Low
13284,1,201.19,330,Old,Low
13285,4,2709.12,23,Old,Low
13291,1,361.11,155,Old,Low
13292,2,578.939999999999,38,Old,Low
13294,2,873.74,189,Old,Low
13295,1,201.2,359,Old,Low
13296,1,87.4,137,Old,Low
13297,4,2089.85,7,Old,Low
13298,1,360,1,Old,Low
13299,1,142.5,268,Old,Low
13300,1,371.89,169,Old,Low
13301,4,618.09,103,Old,Low
13302,1,63.75,155,Old,Low
13304,1,300.42,351,Old,Low
13305,10,2000.86,4,Old,High
13307,1,15,120,Old,Low
13308,3,1385.51,22,Old,Low
13309,5,1456.79,7,Old,Medium
13310,3,1132.03,28,Old,Low
13311,2,598.57,4,Old,Low
13313,5,1555.32,22,Old,Medium
13314,3,775.94,1,Old,Low
13316,4,5977.73,37,Old,Low
13317,6,2273.68,66,Old,Medium
13318,3,640.76,1,Old,Low
13319,26,10845.55,5,Old,High
13320,4,1548.7,78,Old,Low
13321,2,567.36,72,Old,Low
13322,1,199.48,17,Old,Low
13323,5,787.85,3,Old,Medium
13324,10,7121.95,36,Old,High
13325,1,675.3,81,Old,Low
13327,8,3627.77,38,Old,Medium
13328,1,1308.48,316,Old,Low
13329,2,789,31,Old,Low
13330,3,1140.93,92,Old,Low
13332,1,350.9,14,Old,Low
13334,3,3536.82,82,Old,Low
13336,1,795.12,77,Old,Low
13338,1,487.02,157,Old,Low
13339,1,860.12,200,Old,Low
13340,7,10736.48,45,Old,Medium
13341,1,775.85,260,Old,Low
13343,1,353.43,177,Old,Low
13344,3,2543.72,67,Old,Low
13345,1,389.5,287,Old,Low
13347,1,341.36,70,Old,Low
13348,1,233.76,64,Old,Low
13349,1,247.32,10,Old,Low
13350,2,979.12,16,Old,Low
13351,1,373.94,66,Old,Low
13352,1,397.979999999999,60,Old,Low
13354,1,743.53,71,Old,Low
13355,1,674.7,122,Old,Low
13356,1,768.24,80,Old,Low
13357,1,609.95,257,Old,Low
13358,1,439.03,268,Old,Low
13359,1,439.56,63,Old,Low
13362,4,3090.74,9,Old,Low
13363,2,992.5,17,Old,Low
13364,1,134.96,71,Old,Low
13365,2,2225.37,33,Old,Low
13366,1,56.16,50,Old,Low
13368,2,623.4,256,Old,Low
13369,1,308.28,365,Old,Low
13370,1,754.87,371,Old,Low
13372,1,378.64,89,Old,Low
13373,3,3312.25,60,Old,Low
13375,1,778.65,88,Old,Low
13376,3,1019.76,99,Old,Low
13379,3,572.56,26,Old,Low
13381,6,3639.31,31,Old,Medium
13382,1,222.99,280,Old,Low
13384,7,4151.93,30,Old,Medium
13385,1,534.57,329,Old,Low
13388,2,677.1,131,Old,Low
13389,3,797.96,11,Old,Low
13390,1,544.08,74,Old,Low
13391,1,59.8,203,Old,Low
13394,8,2520.02,1,Old,Medium
13395,1,307.719999999999,185,Old,Low
13396,2,1360.99,29,Old,Low
13397,5,1544.13,72,Old,Medium
13398,1,457.34,192,Old,Low
13402,2,621.23,127,Old,Low
13403,1,75,17,Old,Low
